Rank,Country,Weeks
1,Estonia,62
2,Bulgaria,58
3,Croatia,58
4,Bosnia and Herzegovina,52
5,United Kingdom,52
6,Albania,52
7,Montenegro,52
8,United Arab Emirates,45
9,Ireland,42
10,Macedonia,39
11,Norway,35
12,Slovakia,34
13,Czech Republic,28
14,Iran,26
15,India,26
16,Venezuela,26
17,Poland,26
18,Sri Lanka,24
19,Chile,24
20,Hungary,24
21,New Zealand,22
22,Italy,22
23,Liechtenstein,20
24,Luxembourg,20
25,Russia,20
26,Armenia,20
27,Serbia,20
28,Tajikistan,20
29,China,18
30,Australia,18
31,Azerbaijan,18
32,Belarus,18
33,Azerbaijan,18
34,Cyprus,18
35,Denmark,18
36,Finland,18
37,Georgia,18
38,Kazakhstan,18
39,Kyrgyzstan,18
40,Lithuania,18
41,Malta,18
42,Moldova,18
43,Romania,18
44,Ukraine,18
45,Cuba,18
46,Uzbekistan,18
47,South Africa,17
48,Costa Rica,17
49,Vietnam,17
50,Greece,17
51,Mongolia,17
52,Brazil,17
53,Portugal,17
54,"Québec, Canada",17
55,Singapore,16
56,France,16
57,Latvia,16
58,Bangladesh,16
59,Austria,16
60,Monaco,16
61,Netherlands,16
62,Spain,16
63,Andorra,16
64,Turkey,16
65,Turkmenistan,16
66,Congo,15
67,Opt. 2,15
68,"Outside Québec, Canada",15
69,Slovenia,15
70,Belgium,15
71,Burkina Faso,14
72,Colombia,14
73,Seychelles,14
74,Senegal,14
75,Israel,14
76,Japan,14
77,Gabon,14
78,Guinea,14
79,Zimbabwe,14
80,Oman,14
81,Togo,14
82,Germany,14
83,Somalia,14
84,Libya,14
85,Madagascar,14
86,Mali,14
87,Mauritania,14
88,Benin,14
89,Morocco,14
90,Niger,14
91,Djibouti,14
92,Algeria,14
93,Central African Republic,14
94,Côte d’Ivoire,14
95,Panama,14
96,Comoros,14
97,Chad,14
98,Trinidad and Tobago,14
99,Belize,14
100,Democratic Republic of the Congo,14
101,Cameroon,14
102,Switzerland,14
103,Guyana,13
104,Afghanistan,13
105,British Virgin Islands,13
106,Kenya,13
107,Thailand,13
108,Pakistan,13
109,Grenada,13
110,Bolivia,13
111,Peru,13
112,Angola,13
113,Antigua and Barbuda,13
114,Iceland,13
115,Saint Vincent and the Grenadines,13
116,Bahamas,13
117,Cambodia,13
118,Egypt,13
119,Indonesia,13
120,Lao People's Democratic Republic,13
121,Ethiopia,13
122,Saint Lucia,13
123,Saint Kitts and Nevis,13
124,"Korea, Republic of",13
125,Argentina,13
126,Lesotho,12
127,Botswana,12
128,Equatorial Guinea,12
129,Mauritius,12
130,Gambia,12
131,Burundi,12
132,Sweden,12
133,Ghana,12
134,Tanzania,12
135,Namibia,12
136,Guatemala,12
137,Paraguay,12
138,Nicaragua,12
139,Mexico,12
140,Jamaica,12
141,Honduras,12
142,Haiti,12
143,El Salvador,12
144,Sierra Leone,12
145,Ecuador,12
146,Dominican Republic,12
147,Dominica,12
148,Swaziland,12
149,Barbados,12
150,Zambia,12
151,Uruguay,12
152,Fiji,12
153,Myanmar,12
154,Nigeria,12
155,Rwanda,12
156,Solomon Islands,12
157,"Korea, Democratic People's Republic of",11
158,Uganda,10
159,Saudi Arabia,10
160,Kuwait,10
161,Lebanon,10
162,Jordan,10
163,Hong Kong,10
164,Bahrain,9
165,Iraq,9
166,Eritrea,9
167,Cape Verde,9
168,Yemen,9
169,Philippines,9
170,Mozambique,9
171,Guinea-Bissau,9
172,Sao Tome and Principe,9
173,Malaysia,9
174,Taiwan,8
175,Malawi,8
176,Puerto Rico,8
177,Sudan,8
178,Nepal,7
179,Syrian Arab Republic,7
180,Qatar,7
181,Tunisia,4
182,United States of America,0
183,Papua New Guinea,0
