Rank,Country,Overall Score,Corporate Tax Rank,Individual Taxes Rank,Consumption Taxes Rank,Property Taxes Rank,International Tax Rules Rank
1,Estonia,100.0,1,1,9,1,6
2,Latvia,86.0,2,2,27,6,5
3,New Zealand,83.0,18,3,6,3,15
4,Luxembourg,80.5,21,17,2,18,1
5,Netherlands,77.5,19,8,12,10,3
6,Switzerland,77.0,6,9,1,34,8
7,Sweden,75.0,7,20,16,7,7
8,Australia,72.2,27,19,7,4,17
9,Czech Republic,69.6,8,4,33,13,9
10,Austria,69.6,15,21,10,9,13
11,Slovak Republic,69.4,10,6,32,2,27
12,Turkey,68.8,17,5,24,17,10
13,Hungary,68.4,3,15,34,26,2
14,Finland,67.7,5,27,14,11,18
15,Norway,66.2,13,11,18,24,14
16,Germany,65.3,24,28,11,14,11
17,Korea,64.4,28,10,5,25,31
18,Canada,64.0,22,23,8,20,22
19,Belgium,63.8,23,7,25,23,12
20,Ireland,63.7,4,33,23,12,21
21,Denmark,63.7,14,30,17,8,23
22,Slovenia,63.6,12,12,28,21,16
23,United Kingdom,63.1,16,24,22,30,4
24,United States,61.5,20,26,4,28,32
25,Iceland,60.2,11,31,19,22,20
26,Japan,59.5,35,25,3,29,25
27,Spain,57.4,26,18,15,31,19
28,Mexico,57.2,31,13,26,5,34
29,Greece,51.9,25,14,30,27,29
30,Israel,51.7,29,35,13,15,33
31,Chile,48.3,30,22,29,16,35
32,Portugal,48.2,33,29,31,19,28
33,Poland,47.7,9,16,35,32,30
34,Italy,46.9,32,32,20,33,26
35,France,41.4,34,34,21,35,24
